"456747232,2025-04-08T08:56:53Z,1404/01/20 12:26,اکسیر سهام,hasharpanah,twit,#دسبحا \nامیدوارم ایندفعه بزه و سقف‌کانال رو بزنه"
"456747229,2025-04-08T08:56:52Z,1404/01/20 12:26,عرفان,erfansh1379,twit,#پردیس \nسلام \nآیا می دانید با پولی که از سودمون کم کردن\n به اضافه پولی که از ارش سهم کم کردن \nسهام جدید را به قیمت  243 تومان باهامون حساب کردن ؟؟؟؟؟؟؟؟"
"456747222,2025-04-08T08:56:27Z,1404/01/20 12:26,Valizadeh--na,valizadeh--na,twit,#شاخص_بورس \nصندوق عیار منفی ۱۰"
"456680767,2025-04-05T07:18:37Z,1404/01/17 10:48,مها,moha1357,retwit,#وبصادر \nحقوقی\nمهربان\nجر خوردی اینقدر مصررانه میفروشی\nفردا هم روزی از روزهای زیبای پروردگار است."
"456747209,2025-04-08T08:56:05Z,1404/01/20 12:26,شی,gahvare,twit,#عیار مشکوک هست حقوقی ها در کف دارند جمع می کنند؟!؟"
"456747205,2025-04-08T08:56:00Z,1404/01/20 12:26,ali702,ali702,twit,#سحرخیز \nچقدر مفت دارین میفروشید به حقوقی\nبا 5 درصد حباب منفی!!!! حقوقی هم داره درو می کنه"
"456747193,2025-04-08T08:55:42Z,1404/01/20 12:25,ghasem,ghasem44,twit,#حفاری حجم مبنا  هم خدا را شکر پر کرد"
"456747175,2025-04-08T08:54:52Z,1404/01/20 12:24,محمد,vani1358,twit,#غکورش در یک کلمه می‌گنجد رفتار و اعمال حقوقی سهم؛ پست فطرتی"
"456747169,2025-04-08T08:54:29Z,1404/01/20 12:24,ببر بورس,makan2021,twit,#خپارس با حقوقی این سهم فقط باید ازش نوسانگیری کرد"
"456747156,2025-04-08T08:53:57Z,1404/01/20 12:23,Saman hosseini,samaan4343,quote,پالایش. پالایش_یکم.مهم وگروه پالایشی اگر فرصت خرید داد لحظه ای درنگ نکنید."
