"456105270,2025-02-23T08:57:03Z,1403/12/05 12:27,خاک خورده,tttt1390,quote,تو خواب ببینی این قیمت ها رو"
"456105261,2025-02-23T08:56:57Z,1403/12/05 12:26,سینا,cchiako,twit,#شاخص_بورس ما یکی مثل اینو میخواهیم !\n\nخط و نشان ایلان ماسک برای کارمندان آمریکایی\n🔹️ایلان ماسک: مطابق با دستورالعمل‌های رئیس‌جمهور، تمامی کارمندان فدرال به زودی ایمیلی را دریافت خواهند کرد که در آن از آنها خواسته شده، فعالیت خود در هفته گذشته را شرح دهند. عدم پاسخگویی به ایمیل مورد نظر به منزله استعفا تلقی می‌شود."
"456105258,2025-02-23T08:56:57Z,1403/12/05 12:26,IRAN 2020,masood1366,twit,#شلرد امروز خرید شد این سهم جامانده و آینده دار دلاری 🤑🤑🤑"
"456105253,2025-02-23T08:56:53Z,1403/12/05 12:26,dr.strange,dr.strange,quote,#طلا با توجه به تشویق تولید برای خرید طلا و رشد زیاد و بدون اصلاح اون به نظر من که الان طلا گزینه خوبی برای خرید نیست هر چند نگهداری پیشنهاد میشه"
"456105243,2025-02-23T08:56:45Z,1403/12/05 12:26,life,mralpachino,twit,#رانفور \nحجم مبنا مانع بزرگي براي سهم هستش، 96% تابلو دستشونه و زير تابلو هم احتما 2 % دستشون باشه حجم مبناي اين سهم بايد يك باشه"
"456105230,2025-02-23T08:56:27Z,1403/12/05 12:26,امیر حریرچی,harirchi94,twit,#کگاز با سرانه خرید حقیقی 43 میلیون تومان رتبه سوم در گروهش هست"
"456105216,2025-02-23T08:56:06Z,1403/12/05 12:26,علی تارویردی پور,alitar,twit,#کالا را چرا بستند"
"456105200,2025-02-23T08:55:45Z,1403/12/05 12:25,Idk9888,fmadadi,twit,#دزاگرس حقوقی ح کن رها کن"
"456105188,2025-02-23T08:55:22Z,1403/12/05 12:25,خاک خورده,tttt1390,quote,رویای قشنگیه ارزو بر جوانان عیب نیست"
"456105181,2025-02-23T08:55:08Z,1403/12/05 12:25,Yalesaratboors,aeen1391,twit,#عیار هر منفی پاس گلی است برای شکارچیان"
