"454709695,2024-12-31T08:57:11Z,1403/10/11 12:27,sss,saeed1983,twit,#عیار خیلی خنده داره..طلا می‌ره بالا این میاد پایین. آقایون با دستکاری صندوق های طلا قیمت طلا کنترل نمیشه فقط سرمایه ها از این صندوق ها درمیاد تبدیل به طلای فیزیکی میشه"
"454709691,2024-12-31T08:57:09Z,1403/10/11 12:27,Ahmadkafjamkon,alipanah1364,twit,فردا بازار عالی خواهدبود اقا بخرید کوتاه مدت سود کنید نگین ثغرب"
"454709687,2024-12-31T08:57:08Z,1403/10/11 12:27,بابک,stargate,quote,احتمال هم داره بازیگر خبرسازی کرده تا موقع صعود سهم سهامدار خرد نفروشه تا خودش خالی کنه\nالبته مجمع سالیانه هم نزدیکه پارسال 8 دی بود"
"454709680,2024-12-31T08:57:05Z,1403/10/11 12:27,سیگنال 999,signal999,twit,زنگ بزنید ناظر \nمعاملات امروز باطل شود \nچطور فقط یک نفر فروشنده بوده !\n#زماهان"
"454709671,2024-12-31T08:56:58Z,1403/10/11 12:26,االف,ehsanabi,twit,#وپاسار خود کارمندای بانک هم دلشون پره از سهامی که بهشون اتداخته شده(بپاس میدکو آریان وپاسار)"
"454709665,2024-12-31T08:56:56Z,1403/10/11 12:26,حسین,hosenyahocom,twit,#غاذر سلام:کی بازمیشه؟"
"454709652,2024-12-31T08:56:41Z,1403/10/11 12:26,فرید,farid545,twit,#دزاگرس \nبه نظرم امروز بفروشید"
"454709647,2024-12-31T08:56:40Z,1403/10/11 12:26,یوز پلنگ آسیایی,yaemamreza2,twit,#کماسه \n\nتایم M عملکردی\n\nپلنگ_گیلان\n۱۱ دیماه ۱۴۰۳"
"454709642,2024-12-31T08:56:36Z,1403/10/11 12:26,یک ایرانی,ramaen,twit,تاریخ تکرار می‌شود"
"454709638,2024-12-31T08:56:35Z,1403/10/11 12:26,امید,omid-f,quote,#دانا  \n📢خیار چنبر ها را برداشت کردم نشونت میدم😉😁"
