"455255122,2025-01-20T08:57:05Z,1403/11/01 12:27,آذربایجانیم,azerbaijanim,quote,این منفی ها کلا عمدیه.... مثل عرضه اولیه کشیدن پایین وهمشون جمع کردن...\n\nاین بازار مال از ما بهتران است...\n\nسهامداران خرد کیلوی چنده...\n\nرانت\nفساد\nدزدی"
"455255118,2025-01-20T08:56:57Z,1403/11/01 12:26,جواد زنجانی,javadzanjane,twit,#رمپنا \nسهم با این گزارش صف فروش میشه \nاونم وقتی که قیمت اش در یکسال گذشته رشد چندانی نداشته"
"455255108,2025-01-20T08:56:52Z,1403/11/01 12:26,محسن,hkazem3000,quote,همچین قطره چکانی هم نبود . بیش از 100 میلیون  حجم خورد . الحق و انصاف حقوقی دوباره خوب جمعش کرد . \nپی بر ای مناسب اینجور جاها خودش رو نشون میده"
"455255101,2025-01-20T08:56:38Z,1403/11/01 12:26,تریدر,m5566,twit,#شاخص_بورس حقوقی ها سر خطی میفروشن چخبرتونه جنگ شد؟؟"
"455255093,2025-01-20T08:56:24Z,1403/11/01 12:26,مهندس محمود علیمحمدی,alimahmood1234,quote,اینها توتهایی هستند از توتستان.دانسکه استفان از آلمان"
"455255088,2025-01-20T08:56:21Z,1403/11/01 12:26,علی معتمدی,alimotamedi,twit,#شاخص_بورس یک نگاه به     فسازان     جالبه جوگیر شدن را کامل نشان میده"
"455255078,2025-01-20T08:56:07Z,1403/11/01 12:26,masod,patalarm20155,twit,#قیراط امروز افت کرد قیراط"
"455255066,2025-01-20T08:55:58Z,1403/11/01 12:25,هایزنبرگ,haizenbergi,twit,#نوری \nخیلی گزارش بدی داشت ..."
"455255063,2025-01-20T08:55:56Z,1403/11/01 12:25,دخترم تمام دنیام,architectural,twit,#حفاری فردا بازار مثبته"
"455255059,2025-01-20T08:55:53Z,1403/11/01 12:25,R_H,mrdejsa,quote,#شاخص_بورس چرا دوپهلو توییت میزنی حرف آخرو بگو >>>>>>>>>>>>>>"
