"459149657,2025-09-03T07:17:26Z,1404/06/12 10:47,داود,market1,retwit,#شاخص_بورس سیگنالهای مذاکره مستقیم هم داره مخابره میشود ...🌺"
"459151694,2025-09-03T08:49:16Z,1404/06/12 12:19,Sadegh,sa262626,twit,#ختور. حقوقی چه تو صف خرید و چه تو صف فروش فقط اردر فیک میزاره. خدا ازتون نکذره"
"459151689,2025-09-03T08:48:35Z,1404/06/12 12:18,لاکشمی,rettoken,twit,#شاخص_بورس هدف کوتاه مدت شاخص ده میلیون\nبلند مدت سی و سه میلیون"
"459151679,2025-09-03T08:47:35Z,1404/06/12 12:17,مقدم,soli1996,quote,شش سال تمام هست که قرار بزودی بازار برگرده\nو عقب ماندگی ها رو جبران کنه ولی کو ...........\n\nیعنی 2000 روزه که چشم انتظار روز بعد هستیم !!!\nتوروخدا بس کنید خسته شدیم از این حرفها؛  خسسسته !!!"
"459151671,2025-09-03T08:46:48Z,1404/06/12 12:16,لاکشمی,rettoken,quote,چرا تا چند روز پبش حقیقی جمع نمیکرد؟\nعاشق صف هستند مردم ایران\nواقعا با چه منطقی سهم تو صف خرید میخره یه نفر\nشنبه معلومه بازار قرمزه"
"459151666,2025-09-03T08:45:54Z,1404/06/12 12:15,فرزاد,fjavid7277,quote,#شاخص_بورس خودش که دزدی نکرده برادر زنش بوده."
"459151657,2025-09-03T08:45:31Z,1404/06/12 12:15,یلدا66,kheiri84095,twit,#وآیند \nباز هم خوبه که از قرمز در اومد و نارنجی شد \nحالا با توجه به اینکه گفتن که پانزده شهریور بسته میشه امکان باز شدن با قیمت بالاتر محتمل هست"
"459151652,2025-09-03T08:45:30Z,1404/06/12 12:15,الیاس,eliyas0937,quote,تحلیل هنوز معتبره..چیزه خاصی نداره یه بحث عرضه و تقاضاو  یه فلیپ همین ...."
"459151648,2025-09-03T08:45:05Z,1404/06/12 12:15,لاکشمی,rettoken,twit,#فولاد هدف کوتاه مدت سه هزار تومن،بلند مدت سی هزار تومن"
"459151640,2025-09-03T08:44:39Z,1404/06/12 12:14,شارلوت,saeedpormand,twit,#شلرد اونهمه  منفی  میشد و صف  فروش و فروشنده  ...کجاست   یکم  ریختو پاش کنن"
