"458130991,2025-06-12T08:48:41Z,1404/03/22 12:18,محمد جواد,mohammadjavad91,twit,تا کی باید هزینه غنی سازی بدیم بابا ریدید تو عمرمون بسه دیگه"
"458130986,2025-06-12T08:48:00Z,1404/03/22 12:18,مینا نصیری,minanasiri,quote,#خودرو\nاز ایران درود میفرستم بر بورکینافاسو🤚\n😊😊😊"
"458130982,2025-06-12T08:47:33Z,1404/03/22 12:17,مهدی,mehdikhorrami57,quote,این قطعنامه پرونده ایران را به شورای امنیت ارسال نمی‌کند، اما از مدیرکل آژانس بین المللی انرژی ا تمی درخواست می‌کند:\n\n‏۱- به تلاش‌های خود برای اجرای این قطعنامه و قطعنامه‌های قبلی ادامه دهد.\n\n‏۲- گزارش جدیدی حاوی هرگونه تحولات دیگر در مورد موضوعات مطرح شده در قطعنامه ارائه دهد و ایران باید آژانس را از مکان‌های فعلی مواد و تجهیزات هسته‌ای آلوده مطلع کند.\n\n۳- ایران باید دسترسی به سایت‌ها و مواد درخواستی آژانس را فراهم کند و طبق صلاحدید آژانس نمونه‌برداری کند.\n\n۴- ایران باید ضمن برداشتن تمام گام‌هایی که شورا و آژانس ضروری می‌دانند، فوراً به عدم پایبندی خود به توافقنامه پادمان رسیدگی کند.\n\nدر صورت عدم همکاری آژانس نشست اضطراری شورای حکام در تابستان برگزار می‌شود تا پرونده هسته‌ای جمهو ری ا سلامی به شورای امنیت سازمان ملل ارجاع داده شود."
"458130979,2025-06-12T08:47:31Z,1404/03/22 12:17,سهامدار,zz9876,quote,بازهم پیش بینی دقیقی که کرده بودم"
"458130976,2025-06-12T08:47:13Z,1404/03/22 12:17,IRAN 2020,masood1366,twit,#خودرو سخنگوی سازمان انرژی اتمی: غنی سازی به شکل چشمگیری افزایش خواهد یافت\n\nبهروز کمالوندی:\n🔹دو اقدام مشخص و موثر خواهیم داشت.\n🔹مجتمع سوم غنی سازی را راه اندازی خواهیم کرد. \n🔹ماشین های نسل اول غنی سازی را به نسل ششم آن ترقی خواهیم داد.\n🔹غنی سازی به شکل چشمگیری افزایش خواهد یافت.\n✅ @Khabar_Fouri"
"458130973,2025-06-12T08:47:03Z,1404/03/22 12:17,IRAN 2020,masood1366,twit,#خودرو سخنگوی سازمان انرژی اتمی: غنی سازی به شکل چشمگیری افزایش خواهد یافت\n\nبهروز کمالوندی:\n🔹دو اقدام مشخص و موثر خواهیم داشت.\n🔹مجتمع سوم غنی سازی را راه اندازی خواهیم کرد. \n🔹ماشین های نسل اول غنی سازی را به نسل ششم آن ترقی خواهیم داد.\n🔹غنی سازی به شکل چشمگیری افزایش خواهد یافت.\n✅ @Khabar_Fouri"
"458130966,2025-06-12T08:45:58Z,1404/03/22 12:15,مهدی,mehdikhorrami57,quote,این قطعنامه پرونده ایران را به شورای امنیت ارسال نمی‌کند، اما از مدیرکل آژانس بین المللی انرژی ا تمی درخواست می‌کند:\n\n‏۱- به تلاش‌های خود برای اجرای این قطعنامه و قطعنامه‌های قبلی ادامه دهد.\n\n‏۲- گزارش جدیدی حاوی هرگونه تحولات دیگر در مورد موضوعات مطرح شده در قطعنامه ارائه دهد و ایران باید آژانس را از مکان‌های فعلی مواد و تجهیزات هسته‌ای آلوده مطلع کند.\n\n۳- ایران باید دسترسی به سایت‌ها و مواد درخواستی آژانس را فراهم کند و طبق صلاحدید آژانس نمونه‌برداری کند.\n\n۴- ایران باید ضمن برداشتن تمام گام‌هایی که شورا و آژانس ضروری می‌دانند، فوراً به عدم پایبندی خود به توافقنامه پادمان رسیدگی کند.\n\nدر صورت عدم همکاری آژانس نشست اضطراری شورای حکام در تابستان برگزار می‌شود تا پرونده هسته‌ای جمهو ری ا سلامی به شورای امنیت سازمان ملل ارجاع داده شود."
"458130959,2025-06-12T08:43:59Z,1404/03/22 12:13,IRAN 2020,masood1366,twit,#خودرو  امروز اگر بازار باز بود حداقل ۷۰ هزار واحد منفی می شد🤣"
"458130947,2025-06-12T08:42:01Z,1404/03/22 12:12,IRAN 2020,masood1366,twit,#خودرو 🚨🚨🚨فوری | صدور قطعنامه علیه ایران در نشست شورای حکام\n\n‼️آرای موافق: (19)\nآمریکا، انگلیس، فرانسه، آلمان، اسپانیا، آرژانتین، استرالیا، بلژیک، اکوادور، اوکراین، کانادا، گرجستان، ژاپن، کره جنوبی، مراکش، ایتالیا، لوگزامبورگ، هلند، کلمبیا\n\n‼️آرای مخالف: (3)\nروسیه، چین، بورکینافاسو\n\n‼️آرای ممتنع: (11)\nآفریقای جنوبی، هند، پاکستان، مصر، اندونزی، برزیل، غنا، تایلند، الجزایر، ارمنستان، بنگلادش.\n\n‼️پاراگوئه و ونزوئلا از حق رأی برخوردار نبود"
"458130940,2025-06-12T08:41:27Z,1404/03/22 12:11,مهدی,mehdikhorrami57,quote,علی بود تحلیل تون"
