"457163839,2025-04-28T10:31:50Z,1404/02/09 14:01,Abolfazl,abolfazl_karami,quote,#شاخص_بورس \nخلاصه بازار امروز ...."
"457163834,2025-04-28T10:31:34Z,1404/02/09 14:01,سلطان محمود رانتی,rezataksahm,twit,#عیار خطرناک ترین جهل اینه که ندونی ولی فک کنی که میدونی !!"
"457163809,2025-04-28T10:29:58Z,1404/02/09 13:59,Baran1401,baran1401,twit,#نوری \n در دو پله خرید بشه، یکی فرد در محدوده۴۹۰۰-۴۸۰۰ وخرید دیگه در محدوده ۴۶۵۰-۴۶۰۰."
"457163804,2025-04-28T10:29:40Z,1404/02/09 13:59,qwer26df,qwer26df,twit,#عیار دقت بفرمایید اصل ریاضی بالا کشیدن سهمو توضیح نمیدم چون سازمان بورس مطالب را میخوانه و میفهمه ممکنه جلوشو بگیره ولی فرع این موضوعو توضیح میدم و برای چند نفر خصوصی پیغام میدم (البته ممکنه من اشننباه کنم چون سواد ندارم و حرفم خنده دار باشه)"
"457163799,2025-04-28T10:29:27Z,1404/02/09 13:59,Sd,abi00800,twit,#وسدید چه عجب حقوقی نمیفروشه..."
"457163788,2025-04-28T10:28:57Z,1404/02/09 13:58,فراهانی,raza6479,twit,#پالایش  هدف ۲۵۰۰۰ تومن"
"457163768,2025-04-28T10:27:16Z,1404/02/09 13:57,رضا الف,sahoffice,twit,#وبصادر این حجم امروز با مشخصات نماد نمیخونه و خیلی عجیبه این قیمت. امیدوارم در حال خالی کردن نباشن."
"457163761,2025-04-28T10:26:59Z,1404/02/09 13:56,Ali,ali6195n,twit,سلام ودرود ،شاخص کل بشه ۱۰میلیون واحد اما وقتی قیمت سهام تغیری نکنه فایده ای نداره ،بورس باید رشد کنه وقیمتش به روز رسانی بشود وگرنه وضع همینه .... عده اومدن خودرو رو لیدر اعلام میکنن که چی .... اینهمه صنایع قوی داریم ودرکنارش غذایی ،شیمیایی وووو بورس محل سرمایه گذاری ورشد پول راکد شده ست ودرجهت تولید وخدماته نه اینکه رانت بازی بشه ...شاخص کل بشه۴۰میلیون ولی ساعت کار بورس ،دامنه ضعیف نوسان وووووو قیمت هم که هیچ ."
"457160388,2025-04-28T08:53:36Z,1404/02/09 12:23,کاوه,alikaveh,retwit,#نوری \nحجم خریداران 6 برابر فروشندگان\nآیا این 6000 هزارنفر اشتباه خرید کردن ؟؟؟"
"457163750,2025-04-28T10:26:43Z,1404/02/09 13:56,عباس رامش,abas_ ramesh,quote,پایان موج 😳😳\n\nورود فوق عالی چند روزه داشتیم و شاخص درجا زده تقریبا\nاین شروع موجه\n\nشروع موج جدید\nسهام داری کنید!!!"
