"458028716,2025-06-07T08:39:38Z,1404/03/17 12:09,shabahang,shabahang3,retwit,#عیار \n#شاخص_بورس \nتا کی می خواید مقاومت کنین ؟!!\nبا طلا خیالت راحته"
"458028817,2025-06-07T08:41:19Z,1404/03/17 12:11,BetaModir,betamodir,twit,#خودرو #خساپا شاخص کل 3102000 سیگنال فروش"
"458028814,2025-06-07T08:41:16Z,1404/03/17 12:11,raha,raharahaee,twit,#شاخص_بورس  حمله شده؟"
"458028803,2025-06-07T08:41:03Z,1404/03/17 12:11,جانورشناس,mahta666,twit,#عیار  روز های آخر  قیمت کم طلا ست !   کم کم با طوفان تورم عیار در کنال 18 تومن دیگه خاطره میشه ! کسانی که میخوان بخرند خرید کنند چون دوشنبه با گزارش آژانس اتمی  طلا رشد خواهد کرد و تزریق ارز نیز در بازار کم کم توسط دولت متوقف می شود"
"458028800,2025-06-07T08:40:59Z,1404/03/17 12:10,amin,ak8233130,twit,#شاخص_بورس غارت کده ای به نام بورس.\nبه هیچ عنوان ضررهای ۹۹ جبران نخواهد شد"
"458028781,2025-06-07T08:40:37Z,1404/03/17 12:10,یوز پلنگ آسیایی,yaemamreza2,twit,#شاخص_بورس \n\nحقوقیها نقش موثری در سمت خریدار دارند و بیش از ۸۰ درصد خریدها توسط اونها انجام شده\nتا سه شنبه تکلیف بازار مشخص میشه، اونجا میشه بهتر نظر داد\n\nپلنگ_گیلان\n۱۷ خرداد ۱۴۰۴"
"458028771,2025-06-07T08:40:28Z,1404/03/17 12:10,رضا الف,sahoffice,quote,این دیگه چیه. انگار تارا رو بزک کردن چسبوندن به در و بدنه رانا با جلو رادیات مشابه پژو فرانسه. لابد 300-450 میلیونم میخوان گرونتر بدن."
"458028762,2025-06-07T08:40:23Z,1404/03/17 12:10,ebrahimbahmani,ebrahimbahmani,twit,حقوقی ها در مدت چن روز قرمزی بازار در حال خرید سهام بودند و هستند!"
"458028758,2025-06-07T08:40:20Z,1404/03/17 12:10,kaveh,kaveh83,quote,فقط بخر تکسهم عیار شو با قدرت😩"
"458028751,2025-06-07T08:40:17Z,1404/03/17 12:10,E,hadi676767,twit,#تپکو \nگول اونایی ک میگن من فروختم قبل افزایش سرمایه شمام بفروشین رو نخورین \nم..گ این دروغغ ها و آرزوی فریب سهامدارا نزدیکه"
