"458757935,2025-08-06T07:13:25Z,1404/05/15 10:43,BetaModir,betamodir,retwit,#خساپا 370 سیگنال فروش"
"458789351,2025-08-09T08:51:56Z,1404/05/18 12:21,مرتضی آهنچیان,golegandom,twit,سلام عزیزان\nچرا دوباره بستنش؟\n34 ريال ضرر هر سهم رو چطور منظور می کنن؟\nاستدعا می کنم جواب بدید.\nممنون میشم."
"458789348,2025-08-09T08:51:46Z,1404/05/18 12:21,میلاد,miladbaghri,twit,#عیار راستش تا وقتی سه تا چیز درست نشه، بازار برنمی‌گرده:\n1️⃣ اعتماد → قوانین و تصمیمای ناگهانی نباید هر روز عوض بشه.\n2️⃣ جذابیت سود → سهام باید از صندوقای درآمد ثابت و طلا (مثل عیار) سود بیشتری بده.\n3️⃣ نقدشوندگی → بازار باید عمق بگیره و فروش سهم راحت باشه..."
"458789341,2025-08-09T08:51:42Z,1404/05/18 12:21,جُرج,simpletrader,twit,#خساپا و خروج از روند نزولی...\n\n#خودرو #شاخص_بورس"
"458789336,2025-08-09T08:51:23Z,1404/05/18 12:21,Sam,sam100,twit,#کاما بارک الله  به حقیقی ها که تونستند ۷ میلیون سهم. را تا این لحظه از چنگ حقوقی بیرو ن بکشند حالا هی حقوقی عرضه  کنه"
"458789333,2025-08-09T08:51:23Z,1404/05/18 12:21,ضررکرده,destroyed,twit,#های_وب حقوقی 60 میلیون فروخته =)))) واقعاً همه چیمون به هم میاد."
"458789330,2025-08-09T08:51:20Z,1404/05/18 12:21,معصومی,masoom1,twit,#فولاد بنده سرمایم در بورس نصف شد و بکمک طلا تازه تونستم سرمایمو حفظ کنم درود بر جمه وری اسلامی درود بر خا منه ای و خم ینی ممنون از لطفشون"
"458789297,2025-08-09T08:49:46Z,1404/05/18 12:19,Lester,lester1999,twit,#های_وب فکر کنم های وب و شاندیز مستعدترین نمادها برای کال مارجین یا لیکوئید شدن هستن! ما که هر چی توی این دوتا آشغال داشتیم نزدیک به صفر شدن هستش...این دوتا نماد دیگه کارشون از ناسزا گذشته..."
"458789293,2025-08-09T08:49:36Z,1404/05/18 12:19,رضا,iran1403,twit,#شاخص_بورس صندوق پارند و نیلی منفی دو\nبعد از سه چهار روز سود که نداده منفی هم شده\nانگاری دیگه تو  درآمد هم  ثابت هم دارن مردم را میدوشن"
"458789276,2025-08-09T08:48:26Z,1404/05/18 12:18,ضررکرده,destroyed,quote,#های_وب دلیلش ایشونه که ارزش بازار شرکت رو رسوند  به 2600 میلیارد تومن، کم کم داره به ارزش یه بقالی کوچیک میرسه.\nخودش هم انقد خورده، چاق و چله شده ..."
