"454766947,2025-01-02T08:56:09Z,1403/10/13 12:26,علی نوروزی,ali900900,twit,#آباد تحلیل تکنیکال و تابلو خانی وووو روی سهم بنیادی اشتباه جواب میده\nمدیر شرکت میگه با سند داره میگه دارائی شرکت مثلا کوهسنگی پروانه بهره برداری گرفته یعنی ارزشش بیش از ۱۰ برابر شده\nاینجوری سهم ارزش پیدا کرده، بعد اونی که سهام داره با تحلیل اشتباه دیگران سهمشو که چند سال داشته از دست میده ، امیدوارم باعث سود و خیر خواهی دیگران باشیم، من شنید بعضی‌ها تازگی ها تو ۱۰۰ تومن فروخته بودن اونم بعد از چند سال سهامداری ،من ناراحت شدم ..."
"454766913,2025-01-02T08:54:11Z,1403/10/13 12:24,یزدان ابراهیمی,yazdanebrahimi,twit,#سرود \n\n//"
"454766894,2025-01-02T08:53:06Z,1403/10/13 12:23,Mytra,mytra,twit,#شاخص_بورس\nسوال کردند اگر اصولگرا ها دستاوردی داشتن بیان کنید.\n\nگرچه هیچ اصولگرا یی حق ندارد چیزی بنام خود بزند. چون هزینه رو ملت پرداختند.\nاین استقلال و قدرت. حتی اگر فقط نظامی بگیرید. دستاورد ایستادن کسانی هست. ک حقیقت اصول را فهمیدند.\n\nبله آن خون هایی که دادیم. برای استقلال. و قدرت این سرزمین. اکثرا از همین اصولگرایان حقیقی بوده.\nاصلاح طلبان بلعکس آن چیزی که نشان می‌دهند. خود تحقیر هستند."
"454766890,2025-01-02T08:52:41Z,1403/10/13 12:22,Rahman Hamidi,lahzehafilm2013,twit,#مادیرا 13میلیارد تومان خروج پول توسط حقوقی به نظر من سیو سود داره فریاد میزنه\nمن که موقتا خروج زدم\nالبته استراژی شخصی میباشد."
"454766865,2025-01-02T08:51:30Z,1403/10/13 12:21,رضا بورسی,edisson,quote,واقعا منبع خبرت کیهان است؟؟؟؟؟؟\nحالت خوبه؟؟؟؟\nفیک تر و دروغگو تر پیدا نکردی؟؟؟؟؟"
"454766862,2025-01-02T08:51:30Z,1403/10/13 12:21,D&H,davoodho,twit,#غپونه \nروغن خوراکی ۱۵درصد وروغن صنف وصنعت ۲۱٪افزایش قیمت گرفت"
"454766853,2025-01-02T08:51:09Z,1403/10/13 12:21,سینا,cchiako,quote,#شاخص_بورس معادن به صورت پراکنده در خیلی جاهای جهان هستند ایران طلا هم داره آفریقا هم طلا داره ، ایران سنگ آهن داره خیلی جاهای دیگه جهان هم هست \nایران نفت داره  حدود ۱۰۰ کشور دیگه جهان هم نفت دارن \nهر چی هر کشوری داره مهم نیست آنچه مهم هست درآمد سرانه شهروندان اون کشور است\nآمریکا و روسیه و چین هم نفت دارند اما تاثیر نفت در کویت و قطر و عربستان و امارات با توجه به جمعیت کاملا دیده میشه"
"454752881,2025-01-01T13:41:30Z,1403/10/12 17:11,سورنا,soorena.so,retwit,#شاخص_بورس \nقیصر پزشکیان ،امیر کبیر دوران ماست\nخسته نباشی دلاور ،دست خدا بهمرات شیر مرد"
"454766805,2025-01-02T08:49:18Z,1403/10/13 12:19,تنهاترین سردار,fala,twit,#حفاری"
"454766756,2025-01-02T08:46:55Z,1403/10/13 12:16,علی نوروزی,ali900900,twit,#آباد بعد از ۳۰ سال به گفته مدیر شرکت دارائی های شرکت چندین برابر شده ، طرف اومده میگه تا ۱۳۰ میره...!!! یا ارزش سهم رو نمیدونی یا نوسانگیری...\nسهم براحتی بعد از افشا پرت میشه بالای ۵۰۰ تومان"
